Post URL,Account,Views,Likes,Comments,Saved,Caption,Hashtags,Date Posted,Date Collected
https://www.tiktok.com/@ellabellaaa_/video/7194637669559766274,ellabellaaa_,5.9M,559.3K,"[ patsy things that look cheap: things that are cheap, petrapetrovita Things that make you look cheap:cheap satin
Things that make you look expensive: expensive satin 👌👍, ughrianna grabe Yea im cheap bc im broke and poor, nybruker_kleint How to not look cheap, have money🤭✊, Crystal H Step one: be rich 💀, Emily your suggestion is prada…. ok. maybe just suggest a diff fabric, Moth Yeah let me just buy something from Prada real quick?????, elenaaa classism at its finest 💗, Tori’s Intel • PR+Pop Culture Girl… Side eye 😅, kajsa Maybe if someone looks cheap it’s because they bought something cheap and had no intention of spending 200$ on a shirt idk, Gabrielle Instead go for Prada ☺️great advice girl, whaaaaaaa iM a TRenD ForCaSTeR, <3 Are we making up careers now? What is a trend forecaster and what is the purpose 😂, Wilmarielle ☁️ Lol read the room, Michelle Girl we’re poor, user72144486237 It looks cheaper cause it isss i cant afford actual satin, Bianca You’re just talking about things that are actually cheap? “Things I think that are cheap: a Birkin dupe, I’d recommend an actual Birkin” 😂, josie why do we care about looking cheap. reads like elitism / classism, Chloe | Brisbane’s Best Food I swear bec and bridge satin is so shit am I crazy. You can see the lines and it pulls immediately]",51.4K,Things that make you look cheap 👗💙 #fashion #fyp #trend #streetstyle #satin #silk #trending #womensfashion #trends2023 #fashionweek #streetstyle ,#fashion #fyp #trend #streetstyle #satin #silk #trending #womensfashion #trends2023 #fashionweek #streetstyle ,1/30/2023,11/13/23
https://www.tiktok.com/@shaaashaaa05/video/7196298616099622187,shaaashaaa05,27.6M,1.1M,"[ Amanda J Dean Yea you nailed that walk lol., She_fit27 The heels? What about that extra short dress 😂, Ambroisie2690 shes said "" not today"", Cupid Not sure what a white coat ceremony is, but looks like you accomplished something, and nailed it from start to finish, alexandria 🧸🤍 and looked amazing !! y’all are worried about her dress level but when she’s literally at her white coat ceremony!!, Tiana 🌙 Girl you didn’t fall that’s all that matters 😭❤️, kluban.jewelry damn everyone was waiting😂, Lily L I was holding my breath 😅, Rebekah And a 5” dress, Daryana Ok but you’re killing it 😭🥰, _astoldbysteph And take your time! Period. It’s your moment and you killed!, saltykiss_ The “oh no” had me worried for nothing 😂, 31….Jg I mean it’s fine, she’s in a room full of Dr.s she would’ve been well taken care of if she fell 😅🥰🥰 congrats !, Melanie I was rooting for you each step of the way!!😅, saunteringinseattle Take up that time and space!! Earned!, Solange GIRL ALL THAT MATTER IS THAT YOU DID IT WITHOUT FALLING 😘 congratssss 🥳, Princess✝️✨ I thought we were gonna fall 😂, Bridget Soljan Popular….you’re going to be popular!]",19.7K,Replying to @beananddexter  heels > flats #fashion #fashiontok #fyp #pa #physicianassistant #medicine #healthcare ,#fashion #fashiontok #fyp #pa #physicianassistant #medicine #healthcare ,2/4/2023,11/13/23
https://www.tiktok.com/@viavia/video/7273210512865807659,viavia,1.4M,220K,"[ norah 💌🍒 i think sambas are such a versatile shoe and in so many diff colors so cute idk, joy 🎈 he’s wearing a soccer jersey and talking down on sambas lololol, matchamami saying sambas in the brasil jersey is crazy, chelseajordan I like the girl in the purple sm, Katy <3 the girl in the blue is so adorable 😭, Sophie SAMBAS HAVE BEEN ARRROOUUNNDDD like they are nothing new so ppl literally wear whatever you want, Dannikka Purple vest wine that is the correct answer, Katie.eliza49 The socks and shoes one is very valid, user2826290394868 the girl in the purple vest ❤️❤️❤️❤️, Sav! THE NEXT GIRL WEARING SAMBAS, Colette Sambas are a classic shoe. My dad wore them in the 70s/80s, victoria.davila PURPLE VEST GETS IT, Raven Sambas are great and the girl wearing them knows what’s up, 🪱 The white mascara on the blonde is sooo cute, wildflowersinawildfire She’s so right! Wear what makes you feel good and you’ll be glowing all day!, breanna miranda the girl in the purple, yesss!! I agree, Maeve Kelley loveee the third girl!!! the kind of energy we need more of in this world🥰💜, Kaylin Mally WEAR SOCKS, tommy Girl in purple is a queen, Dominique Purple girlie 💜]",4647,“Sambas are overplayed” do you agree? #leastfavoritefashiontrends #fashiontrendsthatneedtodie #fashiontiktok #streetinterviews #samba ,#leastfavoritefashiontrends #fashiontrendsthatneedtodie #fashiontiktok #streetinterviews #samba ,8/30/2023,11/13/23
https://www.tiktok.com/@amy.osnaya/video/7225848459042098437,amy.osnaya,10.5M,916.1K,"[ Person A She is literally Lionel Richie’s daughter. People talking like she was some Gen Z looking up TikTok on Old Money aesthetics and just yesterday. 😂, Zineb ElKh MB From dating new money to marrying old money ..chef’s kiss 💋, Shannon A. Lagunas Maybe it’s just me but I feel like she’s always had a classy look to her!, MamaPablo16 It's called growing up. She was a teenager, around 18 or 19 when she started dating Scott. She looks fabulous with both styles., sharty_barbie💅 ok, I'm going to be controversial yet brave...Sofia Richie and her new hubby aren't old money. they are textbook new money., Ghazal Gh For god sake she was 18 and still managed to be normal and stylish, thatsmebitch29 it's not that deep she's like super rich, Cindy Nicole I just think as she became older her style changed. Don't think it has anything to do with the men in her life.🤷🏻‍♀️, 🕸️🕷️ I mean, Don't let your boyfriend block you from finding your husband 😭😂, CarrieCMF She Stayed Real and Classy!, kitkat thank God she left Scott, kay she screams old money, Karina She’s just not 18 anymore, California_dreamin She was always classy. She was younger and her style has matured along with herself., mrs styles glowingggg, Berk Do people know what old money even means, DianaAn After all the smack everyone talked about her when she was with Scott now everyone wants to be like her 🤔, busy she has always been rich, christina man the way ppl in general choose different girls to channel every season is crazy to me lol it’s always a new “it girl” to be followed, G3MZ🤪 The fact that both these women found love and then got married after finally leaving Scott👏🏾 wishing both ladies all the best on their unions 🫶🏾]",46K,Sofia Richie the real #OldMoney #outfitinspo #fashiontiktok #fashionstyle ,#OldMoney #outfitinspo #fashiontiktok #fashionstyle ,4/24/2023,11/13/23
https://www.tiktok.com/@cvazzana/video/7222383131892993326,cvazzana,1.6M,158.1K,"[ Erick Your style wasn’t bad but it went from average to a fully blossomed fashion icon!, Charly O. Girl your attitude… you rock!😏, hb I think the biggest difference is the confidence - your pose, your posture, your expressions. I love it! 🫶🏻, velvet! the big confidence change omg yesss, The  Japan Labs omg you are stunning, Valeria Antonia You’re such an inspiration 💕, 태은 (　・３・) sorry but also you got richer, xicioconsuegra Queen 🙌🏻💐, Alexandria Brown Gorgeous 👑., Ronziesart omg slay, °̥̊•D̥̊ọt̥̊•°̥̊ I haven't found my style yet 😭, Genevieve Adele I LOVE it 🥰🥰 you look amazing and I want your clothes!!, ThatVestGuy Broadway vibes, juliana doesn’t matter whether you like the style or not, u look so much happier and more confident 💕💕, Stitched Leather Clothiers Love your bold style!, Sheleesi Damn you went from great to greater honestly. Both 🔥, Julia Glowing, LordHedgehog777 where are those last pants from???, ultraviolence era soul sister to you @Kelsie, Courtney Cudden how 😭 I've been struggling with my style for 10+ years 🥺]",3723,Finally found my style🥹💗🫶🏻 #tiktokfashion #maximaliststyle #nycstyle #styletips #glowup #styletransformation #fashioninspo ,#tiktokfashion #maximaliststyle #nycstyle #styletips #glowup #styletransformation #fashioninspo ,4/15/2023,11/13/23
https://www.tiktok.com/@vivienarchive/video/7214529876903087365,vivienarchive,18.9M,1.7M,"[ meelie4real glow down, mullerova Fr skinny jeans I never wear again 🤭😩, aaliyah beach everyone saying before has me on the floor 😭😭, 🌺(taylor’s version) why is everyone saying before?? after 100%, andii🥱🫶🏻 before, MARAM after, Ariyah I’m still dressing in before 😂, 🇮🇹Maëlle🇮🇹 Before, 🌻shar After, vici before 100%, -mindenes oldal-💘🫶🏼 Beforee, 😘Vicky la plus canon❤️ Before is the best, 🤡 Before, Jerome M. 🪐 after., Laura👸🏼 Before, Fiona 🌸 Before 🥹, Grétka Kočanová Before 🥺, 🫶 I love skinny jeans on girls ❤️]",78.8K,Before or after? #streetwear #fashion #fashiontok #fashiontiktok #foryou ,#streetwear #fashion #fashiontok #fashiontiktok #foryou ,3/25/2023,11/13/23
https://www.tiktok.com/@fashionpharoah/video/7199474278633393414,fashionpharoah,1.7M,144K,"[ kat ౨ৎ the best model of our generation is anok yai, Mia I can hear Naomi saying 'you don't touch the dress' 😅, Enya ✨ I think she is more for photography, ♡︎catherine♡︎ the modeling industry needs more models like herrrrrr 💞, ♱ she makes modeling modeling, P Eehh idk, JONES mhh not sure lol, 🍦 This is a performance, honestly love it but understand it can draw attention to the model than the outfit, Brooklynne Webb FR SHES SO TALENTED, graezo Y’all judging acting like she’s hasn’t been in the industry for YEARS. Clearly she’s knows what she’s doing and does good doing it, marian yall shes literally THE COCO ROCHA, paigie ♀ YOU DONT TOUCH THE DRESS, Moda Light Omg she is an icon, parnasizam she know the job., ilr360 black swan, emmchen David Bowie??, Olya_Present 💝 Beautiful 🥰, Liesellovejewelry Sooo pretty!, Skylarmodeling The world of modeling is lucky to have someone as passionate as you. Keep slaying, trendsetter! 💥👑 #ModelSlay]",4928,"best model of our generation, coco rocha #cocorocha #fashion #fashiontiktok #fyp #nyc #nyfw #nyfw2023 ",#cocorocha #fashion #fashiontiktok #fyp #nyc #nyfw #nyfw2023 ,2/12/2023,11/13/23
https://www.tiktok.com/@the.navarose/video/7163009881488985390,the.navarose,5.5M,1.3M,"[ Pauline As a Parisian that wears crop tops and minis. Don’t worry. Paris is not uniform, you’ll see a lot of different style. 🥰, Makayla I would not be going to Paris to look like it from Paris….I’m going to have fun and look cute asfk, No What about the best things to wear in Paris?, doki ☆ one thing about most people in Paris WE DON'T CARE. (but check out the good outfits), Nora crop tops and short skirts aren't unusual but they are mostly worn by teenagers, Binta Paris is probably the most diverse city in France (depending where you are, it’s HUGE). Just slay & you’ll be good 😂🥰, .۵ I always ignore looks because I am paying for my travel so its my business how I will look, ! unii ★ bro Paris is just like any other place in the world 💀there are just some people who dress a lot different but that's everywhere, Jin No offense but i always wear hoodie in Paris well i didn’t get looks, 하준 ✰ wear what you want., cleabattini parisian here, I wear all kinds of crop tops all day because I like it and no one cares?
honestly just feel confortable and you'll be pretty anywhere, thenavarose · Creatordefinitely taking notes from @Paige Lorentzen bc the cobblestone was my enemy 🥹, riham not just paris, anywhere, Adelaine Morin queen hahaha, MJ YESSSS, Scumbag Dad Slay, Maralee Bell not true about the crop tops or mini skirts! just maybe not at the same time 🥰 enjoy your stay in France!, Hawa Diarra Samake Oh girl don’t worry about the “not the great kind” of look. It’s the default look and has nothing to do with the outfits. They’re just French 😌, Janette Ok KILLED IT, Hachiko It’s a fact that when in Paris if you’re dresses slightly different people will give you looks. But who cares ? Wear what you want]",51K,it’s clearly my first time in paris lol #tiktokfashion #mystyle #paris ,#tiktokfashion #mystyle #paris ,11/6/2022,11/13/23
https://www.tiktok.com/@im.5ft/video/7205577598951329029,im.5ft,7.5M,759.7K,"[ JZ Am I the only one here who know carabiner code, Matt Cook They bout to hear you comin from a mile away, amber <3 lesbian core, Henry POV: high school janitor preparing for a bathroom sweep, darcyholbrook but lesbians since 200, matiaskortesniemi Only u G, ctowens04 get the badge in, Jorge Flamenco Janitorcore, Jair,Alv “this cool vintage steel cup”, . like, are yall hiking?, Dinner Jarren Leave me and my three lego minifigs, my tiny crocodile game and my whippy thingy ALONE, VostsVault Bro finna sound like iron man, 🇸🇩كريم🇸🇩 Keys on belt loop is hardest thing fr, svveatshirt fr cause what if im out and i suddenly need every item on earth, gotta be prepared, Geoesque A mug⁉️I should’ve thought of this sooner, Ben Teacher core, ThePizzaBar bro might like boys, tatamic and the looks still eats, Alina @_toadstool idk I feel like you'd do this, tyler how it be]",30.5K,It gets like that 🤣 #fyp #streetwear #viral ,#fyp #streetwear #viral ,3/1/2023,11/13/23
https://www.tiktok.com/@vivienarchive/video/7157738374277631238,vivienarchive,1.8M,197.8K,"[ Abby J How was fleece cringy, chiara I LOVE IT BUT I HAVE NO MONEY 😭, Y2K.Flex Fleece was never cringe, me ⚡️ was expecting u to say crocs 😂, or-la LOVE THEM, alusia adidas superstar, Minnah (minho ver) still don't like it, Darrell Ang factss, :(: Skinny jeans, l_e_o_2005 yeah, clara where is the bag from in the second picture?, 😩 Bro try to, ambitiouspornstar UGGS!!!, 🌀☆•hii°its.izzie•☆🪼 crocs, jumping gyatt rizzler Crocks, Ciara Idk about that, Living Goods Nics, SneakerBell💫 That is SO true, Banan my fleece jacket cost 300 😭😭😭😭, Fyodor & Sigma = alive 😡😡 I wear them when skiing lol]",12.3K,love them🤌🏼✨ #fashiontok #fashion #streetwear #clothing #foryoupage #fy #gorpcore #fleece #systemic #stussy ,#fashiontok #fashion #streetwear #clothing #foryoupage #fy #gorpcore #fleece #systemic #stussy ,10/23/2022,11/13/23
